interval_id,scenario_id,start_min,end_min,duration_s,inlet_id,drain_node_id,drain_id,road_id,surface_row,surface_col,arrival_volume_m3,potential_inflow_q_m3s,entry_capacity_m3s,entry_capacity_source,entry_capacity_is_observed,coupling_method
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00087,RN_DNODE_00262,RN_DRAIN_00520,RN_ROAD_00213,112,94,10.518750190734863,0.005843750105963813,0.19028600529539347,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00089,RN_DNODE_00264,RN_DRAIN_00499,RN_ROAD_00221,110,94,10.518750190734863,0.005843750105963813,0.18405199949807394,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00091,RN_DNODE_00266,RN_DRAIN_00407,RN_ROAD_00236,102,94,63.73125076293945,0.03540625042385525,1.4328865124290238,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00092,RN_DNODE_00271,RN_DRAIN_00521,RN_ROAD_00206,112,95,21.65625,0.01203125,0.0954195777470258,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00094,RN_DNODE_00273,RN_DRAIN_00500,RN_ROAD_00221,110,95,50.11875057220459,0.02784375031789144,0.3882542420713991,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00095,RN_DNODE_00274,RN_DRAIN_00408,RN_ROAD_00238,102,95,32.17500019073486,0.017875000105963813,0.3305358790663851,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00096,RN_DNODE_00278,RN_DRAIN_00522,RN_ROAD_00206,112,96,118.80000019073486,0.06600000010596381,0.4808041363512746,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00097,RN_DNODE_00279,RN_DRAIN_00409,RN_ROAD_00237,102,96,42.69375038146973,0.023718750211927625,0.30124813859248456,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00098,RN_DNODE_00284,RN_DRAIN_00523,RN_ROAD_00204,112,97,41.45625019073486,0.023031250105963814,0.8030954072736205,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00099,RN_DNODE_00285,RN_DRAIN_00417,RN_ROAD_00226,103,97,77.96250057220459,0.04331250031789144,0.30116185815577506,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00100,RN_DNODE_00287,RN_DRAIN_00166,RN_ROAD_00530,83,97,31.55625057220459,0.017531250317891437,0.03484430030503481,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00101,RN_DNODE_00288,RN_DRAIN_00141,RN_ROAD_00547,81,97,118.80000114440918,0.06600000063578287,1.2603351041610837,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00102,RN_DNODE_00289,RN_DRAIN_00129,RN_ROAD_00547,80,97,21.037500381469727,0.011687500211927626,0.12733816465846753,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00103,RN_DNODE_00295,RN_DRAIN_00524,RN_ROAD_00004,112,98,94.66875076293945,0.05259375042385525,0.4840443716707854,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00104,RN_DNODE_00296,RN_DRAIN_00428,RN_ROAD_00036,104,98,110.75625038146973,0.061531250211927624,0.30116185815577506,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00105,RN_DNODE_00297,RN_DRAIN_00418,RN_ROAD_00040,103,98,21.037500381469727,0.011687500211927626,0.03485428291526828,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
