interval_id,scenario_id,start_min,end_min,duration_s,drain_node_id,local_inlet_q_m3s,upstream_q_m3s,total_q_m3s,outgoing_drain_id,capacity_m3s,capacity_source,capacity_is_observed,conveyed_q_m3s,overflow_q_m3s,export_q_m3s,overflow_volume_m3
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00152,0.005843750105963813,0.0,0.005843750105963813,RN_DRAIN_00189,0.2781184424317617,synthetic_manning_scenario,0.0,0.005843750105963813,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00171,0.005843750105963813,0.0,0.005843750105963813,RN_DRAIN_00190,0.21513777926228358,synthetic_manning_scenario,0.0,0.005843750105963813,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00225,0.00790625015894572,0.0,0.00790625015894572,RN_DRAIN_00192,0.02637752433631995,synthetic_manning_scenario,0.0,0.00790625015894572,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00300,0.017875000105963813,0.0,0.017875000105963813,RN_DRAIN_00193,0.03485428291526828,synthetic_manning_scenario,0.0,0.017875000105963813,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00490,0.0,0.0,0.0,RN_DRAIN_00196,0.038632043432786596,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00002,0.0,0.0,0.0,RN_DRAIN_00197,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00135,0.016843750211927626,0.0,0.016843750211927626,RN_DRAIN_00201,0.14808812947220454,synthetic_manning_scenario,0.0,0.016843750211927626,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00151,0.0,0.0,0.0,RN_DRAIN_00202,0.22523069736860887,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00170,0.0,0.0,0.0,RN_DRAIN_00203,0.22622629578712322,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00224,0.0,0.0,0.0,RN_DRAIN_00205,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00299,0.023718750211927625,0.0,0.023718750211927625,RN_DRAIN_00206,0.02637752433631995,synthetic_manning_scenario,0.0,0.023718750211927625,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00359,0.12581250137752956,0.0,0.12581250137752956,RN_DRAIN_00208,0.09006678976697921,synthetic_manning_scenario,0.0,0.09006678976697921,0.035745711610550346,0.0,64.34228089899062
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00124,0.0,0.0,0.0,RN_DRAIN_00211,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00223,0.0,0.0,0.0,RN_DRAIN_00215,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00316,0.0,0.0,0.0,RN_DRAIN_00216,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00546,0.1553750001059638,0.0,0.1553750001059638,RN_DRAIN_00219,0.07396532506289491,synthetic_manning_scenario,0.0,0.07396532506289491,0.0814096750430689,0.0,146.537415077524
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00022,0.029562500317891437,0.0,0.029562500317891437,RN_DRAIN_00221,0.03485428291526828,synthetic_manning_scenario,0.0,0.029562500317891437,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00149,0.0,0.0,0.0,RN_DRAIN_00229,0.11345402204017847,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00168,0.0,0.0,0.0,RN_DRAIN_00230,0.2627180237045502,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00222,0.0,0.0,0.0,RN_DRAIN_00232,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00331,0.0,0.0,0.0,RN_DRAIN_00233,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00351,0.0,0.0,0.0,RN_DRAIN_00235,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00556,0.022687500317891438,0.0,0.022687500317891438,RN_DRAIN_00238,0.03484430030503481,synthetic_manning_scenario,0.0,0.022687500317891438,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00014,0.0,0.0,0.0,RN_DRAIN_00239,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00065,0.0,0.0,0.0,RN_DRAIN_00242,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00076,0.0,0.0,0.0,RN_DRAIN_00244,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00085,0.0,0.0,0.0,RN_DRAIN_00245,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00193,0.0,0.0,0.0,RN_DRAIN_00246,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00342,0.0,0.0,0.0,RN_DRAIN_00248,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00247,0.0,0.0,0.0,RN_DRAIN_00261,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00349,0.0,0.0,0.0,RN_DRAIN_00262,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00054,0.0,0.0,0.0,RN_DRAIN_00272,0.16663623912470468,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00063,0.0,0.0,0.0,RN_DRAIN_00273,0.11852287889848324,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00246,0.0,0.0,0.0,RN_DRAIN_00275,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00357,0.0,0.0,0.0,RN_DRAIN_00276,0.03483431483404455,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00372,0.0,0.0,0.0,RN_DRAIN_00278,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00541,0.0,0.0,0.0,RN_DRAIN_00280,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00245,0.0,0.0,0.0,RN_DRAIN_00287,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00363,0.0,0.0,0.0,RN_DRAIN_00288,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00377,0.0,0.0,0.0,RN_DRAIN_00290,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00396,0.263656251695421,0.0,0.263656251695421,RN_DRAIN_00291,0.1120128954947173,synthetic_manning_scenario,0.0,0.1120128954947173,0.1516433562007037,0.0,272.9580411612667
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00448,0.035406249894036186,0.0,0.035406249894036186,RN_DRAIN_00292,0.02637752433631995,synthetic_manning_scenario,0.0,0.02637752433631995,0.009028725557716236,0.0,16.251706003889225
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00005,0.0,0.0,0.0,RN_DRAIN_00294,0.04614936155069056,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00244,0.0,0.0,0.0,RN_DRAIN_00302,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00370,0.0,0.0,0.0,RN_DRAIN_00303,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00395,0.016843750211927626,0.0,0.016843750211927626,RN_DRAIN_00306,0.02637752433631995,synthetic_manning_scenario,0.0,0.016843750211927626,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00436,0.0,0.0,0.0,RN_DRAIN_00307,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00440,0.011687500211927626,0.0,0.011687500211927626,RN_DRAIN_00308,0.03485428291526828,synthetic_manning_scenario,0.0,0.011687500211927626,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00243,0.0,0.0,0.0,RN_DRAIN_00317,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00375,0.011687500211927626,0.0,0.011687500211927626,RN_DRAIN_00318,0.03485428291526828,synthetic_manning_scenario,0.0,0.011687500211927626,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00511,0.0,0.0,0.0,RN_DRAIN_00333,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00529,0.05396875010596381,0.0,0.05396875010596381,RN_DRAIN_00335,0.19300346415305064,synthetic_manning_scenario,0.0,0.05396875010596381,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00074,0.0,0.0,0.0,RN_DRAIN_00336,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00242,0.0,0.0,0.0,RN_DRAIN_00338,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00383,0.0,0.0,0.0,RN_DRAIN_00339,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00393,0.0,0.0,0.0,RN_DRAIN_00340,0.03485428291526828,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00428,0.011000000105963813,0.0,0.011000000105963813,RN_DRAIN_00344,0.03485428291526828,synthetic_manning_scenario,0.0,0.011000000105963813,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00501,0.0,0.0,0.0,RN_DRAIN_00346,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00521,0.00515625,0.0,0.00515625,RN_DRAIN_00348,0.2764107810710812,synthetic_manning_scenario,0.0,0.00515625,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00528,0.005843750105963813,0.0,0.005843750105963813,RN_DRAIN_00349,0.09203450505564478,synthetic_manning_scenario,0.0,0.005843750105963813,0.0,0.0,0.0
