cell_id,start_min,end_min,runoff_m3
R080_C126,0,30,9.28125
R080_C127,0,30,10.518750190734863
R080_C128,0,30,9.28125
R080_C129,0,30,9.28125
R080_C130,0,30,9.28125
R080_C131,0,30,9.28125
R080_C132,0,30,9.28125
R080_C133,0,30,9.28125
R081_C067,0,30,10.518750190734863
R081_C068,0,30,10.518750190734863
R081_C069,0,30,3.7125000953674316
R081_C070,0,30,11.137499809265137
R081_C071,0,30,9.28125
R081_C072,0,30,9.28125
R081_C073,0,30,11.137499809265137
R081_C074,0,30,9.28125
R081_C075,0,30,10.518750190734863
R081_C076,0,30,10.518750190734863
R081_C077,0,30,10.518750190734863
R081_C078,0,30,10.518750190734863
R081_C079,0,30,10.518750190734863
R081_C080,0,30,10.518750190734863
R081_C081,0,30,10.518750190734863
R081_C082,0,30,9.28125
R081_C083,0,30,11.137499809265137
R081_C084,0,30,10.518750190734863
R081_C085,0,30,9.28125
R081_C086,0,30,9.28125
R081_C087,0,30,9.28125
R081_C088,0,30,9.28125
R081_C089,0,30,9.28125
R081_C090,0,30,9.28125
R081_C091,0,30,9.28125
R081_C092,0,30,9.28125
R081_C093,0,30,3.7125000953674316
R081_C094,0,30,9.28125
R081_C095,0,30,9.28125
R081_C096,0,30,10.518750190734863
R081_C097,0,30,10.518750190734863
R081_C098,0,30,9.28125
R081_C099,0,30,10.518750190734863
R081_C100,0,30,11.137499809265137
R081_C101,0,30,11.137499809265137
R081_C102,0,30,11.137499809265137
R081_C103,0,30,11.137499809265137
R081_C104,0,30,11.137499809265137
R081_C105,0,30,11.137499809265137
R081_C106,0,30,10.518750190734863
R081_C107,0,30,11.137499809265137
R081_C108,0,30,10.518750190734863
R081_C109,0,30,10.518750190734863
R081_C110,0,30,11.137499809265137
R081_C111,0,30,10.518750190734863
R081_C112,0,30,9.28125
R081_C113,0,30,10.518750190734863
R081_C114,0,30,10.518750190734863
R081_C115,0,30,10.518750190734863
R081_C116,0,30,10.518750190734863
R081_C117,0,30,10.518750190734863
R081_C118,0,30,9.28125
R081_C119,0,30,10.518750190734863
R081_C120,0,30,10.518750190734863
R081_C121,0,30,11.137499809265137
R081_C122,0,30,10.518750190734863
R081_C123,0,30,11.137499809265137
R081_C124,0,30,10.518750190734863
R081_C125,0,30,10.518750190734863
R081_C126,0,30,10.518750190734863
R081_C127,0,30,10.518750190734863
R081_C128,0,30,9.28125
R081_C129,0,30,9.28125
R081_C130,0,30,9.28125
R081_C131,0,30,9.28125
R081_C132,0,30,9.28125
R081_C133,0,30,9.28125
R081_C134,0,30,9.28125
R082_C068,0,30,10.518750190734863
R082_C069,0,30,10.518750190734863
R082_C070,0,30,10.518750190734863
R082_C071,0,30,10.518750190734863
R082_C072,0,30,10.518750190734863
R082_C073,0,30,10.518750190734863
R082_C074,0,30,10.518750190734863
R082_C075,0,30,10.518750190734863
R082_C076,0,30,10.518750190734863
R082_C077,0,30,10.518750190734863
R082_C078,0,30,10.518750190734863
R082_C079,0,30,10.518750190734863
R082_C080,0,30,9.28125
R082_C081,0,30,11.137499809265137
R082_C082,0,30,10.518750190734863
R082_C083,0,30,10.518750190734863
R082_C084,0,30,10.518750190734863
R082_C085,0,30,10.518750190734863
R082_C086,0,30,10.518750190734863
R082_C087,0,30,9.28125
R082_C088,0,30,9.28125
R082_C089,0,30,9.28125
R082_C090,0,30,9.28125
R082_C091,0,30,9.28125
R082_C092,0,30,3.7125000953674316
R082_C093,0,30,10.518750190734863
R082_C094,0,30,11.137499809265137
R082_C095,0,30,10.518750190734863
R082_C096,0,30,10.518750190734863
R082_C097,0,30,10.518750190734863
R082_C098,0,30,9.28125
R082_C099,0,30,3.7125000953674316
R082_C100,0,30,11.137499809265137
R082_C101,0,30,11.137499809265137
R082_C102,0,30,11.137499809265137
R082_C103,0,30,11.137499809265137
R082_C104,0,30,11.137499809265137
R082_C105,0,30,11.137499809265137
R082_C106,0,30,11.137499809265137
R082_C107,0,30,11.137499809265137
R082_C108,0,30,11.137499809265137
R082_C109,0,30,10.518750190734863
R082_C110,0,30,11.137499809265137
R082_C111,0,30,10.518750190734863
R082_C112,0,30,11.137499809265137
R082_C113,0,30,10.518750190734863
