interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m,flood_risk,flood_risk_rank,risk_policy,is_passable,passability_status,passability_policy
150_180,150,180,RN_ROAD_00518,RN_NODE_00034,RN_NODE_00057,0,RN_ROAD_00518,RN_ROAD_00518,tertiary,['Gulwani Maharaj Path'],137.5377317476224,road_line_intersected_raster_cells_all_touched,mapped,7,0.0315619446337223,0.016685642734436,0.0311951167881488,1.0,0.4285714285714285,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00515,RN_NODE_00021,RN_NODE_00027,0,RN_ROAD_00515,RN_ROAD_00515,tertiary,['Gulwani Maharaj Path'],34.40198774129008,road_line_intersected_raster_cells_all_touched,mapped,3,0.0423957780003547,0.0261997316653529,0.0382266033440828,1.0,0.6666666666666666,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00519,RN_NODE_00027,RN_NODE_00055,0,RN_ROAD_00519,RN_ROAD_00519,tertiary,['Gulwani Maharaj Path'],139.24373942661734,road_line_intersected_raster_cells_all_touched,mapped,7,0.0315619446337223,0.0195167715927319,0.0311951167881488,1.0,0.5714285714285714,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00521,RN_NODE_00057,RN_NODE_00055,0,RN_ROAD_00521,RN_ROAD_00521,residential,,6.982680446110972,road_line_intersected_raster_cells_all_touched,mapped,1,0.0070203891955316,0.0070203891955316,0.0070203891955316,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00554,RN_NODE_00057,RN_NODE_00063,0,RN_ROAD_00554,RN_ROAD_00554,tertiary,['Gulwani Maharaj Path'],61.83276020804142,road_line_intersected_raster_cells_all_touched,mapped,4,0.0092434929683804,0.0070075347321107,0.0091857187449932,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00522,RN_NODE_00055,RN_NODE_00009,0,RN_ROAD_00522,RN_ROAD_00522,residential,,202.98961960729056,road_line_intersected_raster_cells_all_touched,mapped,8,0.0265689492225646,0.0171257985057309,0.0256910828873515,1.0,0.5,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00555,RN_NODE_00055,RN_NODE_00062,0,RN_ROAD_00555,RN_ROAD_00555,tertiary,['Gulwani Maharaj Path'],63.00556917977679,road_line_intersected_raster_cells_all_touched,mapped,4,0.009285969659686,0.0086501910118386,0.0092732266522943,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00520,RN_NODE_00009,RN_NODE_00002,0,RN_ROAD_00520,RN_ROAD_00520,residential,,41.31404716190531,road_line_intersected_raster_cells_all_touched,mapped,1,0.0041554826311767,0.0041554826311767,0.0041554826311767,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00523,RN_NODE_00009,RN_NODE_00008,0,RN_ROAD_00523,RN_ROAD_00523,residential,,12.441899887466713,road_line_intersected_raster_cells_all_touched,mapped,2,0.0041554826311767,0.00264623016119,0.0038536321371793,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00556,RN_NODE_00008,RN_NODE_00001,0,RN_ROAD_00556,RN_ROAD_00556,residential,,43.988610861901286,road_line_intersected_raster_cells_all_touched,mapped,2,0.0011369776912033,0.000695743918186,0.0010487309365998,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00557,RN_NODE_00008,RN_NODE_00013,0,RN_ROAD_00557,RN_ROAD_00557,residential,,83.46063841947745,road_line_intersected_raster_cells_all_touched,mapped,4,0.0011369776912033,0.0005517768731806,0.000996535498416,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00528,RN_NODE_00169,RN_NODE_00170,0,RN_ROAD_00528,RN_ROAD_00528,residential,,26.96845598273519,road_line_intersected_raster_cells_all_touched,mapped,2,0.0033170147798955,0.0027629731921479,0.003206206462346,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
