interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m
000_030,0,30,RN_ROAD_00039,RN_NODE_00208,RN_NODE_00209,0,RN_ROAD_00039,RN_ROAD_00039,tertiary,['Dattawadi Road'],26.03044550460261,road_line_intersected_raster_cells_all_touched,mapped,2,0.0075597395189106464,0.005594205926172435,0.007166632800363004,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00038,RN_NODE_00242,RN_NODE_00225,0,RN_ROAD_00038,RN_ROAD_00038,residential,,84.51756534679647,road_line_intersected_raster_cells_all_touched,mapped,6,0.02856207638978958,0.012689895384634534,0.023618916980922222,1.0,0.16666666666666666,0.0,0.0
000_030,0,30,RN_ROAD_00045,RN_NODE_00242,RN_NODE_00256,0,RN_ROAD_00045,RN_ROAD_00045,residential,,56.395339779681436,road_line_intersected_raster_cells_all_touched,mapped,3,0.01407117024064064,0.008881928088764349,0.012943478114902974,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00036,RN_NODE_00191,RN_NODE_00190,0,RN_ROAD_00036,RN_ROAD_00036,residential,,43.636454570990736,road_line_intersected_raster_cells_all_touched,mapped,3,0.04673023149371147,0.036346616223454475,0.04543667882680893,1.0,1.0,0.0,0.0
000_030,0,30,RN_ROAD_00040,RN_NODE_00190,RN_NODE_00188,0,RN_ROAD_00040,RN_ROAD_00040,residential,,40.90975146529643,road_line_intersected_raster_cells_all_touched,mapped,2,0.022047149017453194,0.01665801089257002,0.020969321392476557,1.0,0.5,0.0,0.0
000_030,0,30,RN_ROAD_00226,RN_NODE_00190,RN_NODE_00132,0,RN_ROAD_00226,RN_ROAD_00226,residential,,135.162456334921,road_line_intersected_raster_cells_all_touched,mapped,6,0.022047149017453194,0.01079013761288176,0.022040911950170994,1.0,0.3333333333333333,0.0,0.0
000_030,0,30,RN_ROAD_00049,RN_NODE_00225,RN_NODE_00257,0,RN_ROAD_00049,RN_ROAD_00049,residential,,104.09119651047976,road_line_intersected_raster_cells_all_touched,mapped,4,0.006573630962520838,0.004383754334412515,0.006176697975024581,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00051,RN_NODE_00225,RN_NODE_00209,0,RN_ROAD_00051,RN_ROAD_00051,residential,,40.48572136886673,road_line_intersected_raster_cells_all_touched,mapped,3,0.005250521004199982,0.003612982497240106,0.0049261512700468305,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00052,RN_NODE_00225,RN_NODE_00226,0,RN_ROAD_00052,RN_ROAD_00052,residential,,35.95601353641846,road_line_intersected_raster_cells_all_touched,mapped,2,0.00592432776466012,0.005587424384430051,0.005856947088614106,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00054,RN_NODE_00209,RN_NODE_00211,0,RN_ROAD_00054,RN_ROAD_00054,tertiary,['Dattawadi Road'],74.6477816696061,road_line_intersected_raster_cells_all_touched,mapped,3,0.013788090087473392,0.007582088699564338,0.012096372805535794,1.0,0.0,0.0,0.0
